Temperature_C,Current_A,Voltage_V,
23,0.00295,3.11,
23,0.00428,4.55,
23,0.00594,6.15,
23,0.00802,8.04,
23,0.01384,12.6,
23,0.01085,10.17,
48,0.00294,3.43,
48,0.0073,7.74,
48,0.01045,10.5,
48,0.01305,12.64,
48,0.00515,5.6,
91,0.01985,9.45,
91,0.0155,8.2,
91,0.01136,6.61,
91,0.00837,5.22,
91,0.007,4.6,
91,0.00319,2.34,
70,0.00102,1.2,
70,0.00524,5.5,
70,0.01,9,
70,0.0155,12.25,
70,0.007,6.8,
70,0.01207,10.6,
111,0.001,0.66,
111,0.00707,3.62,
111,0.01133,4.7,
111,0.01988,7.1,
111,0.01505,5.9,
111,0.00404,2.25,
141,0.0012,0.4,
141,0.01985,4.1,
141,0.01535,3.3,
141,0.0111,2.7,
141,0.00777,1.88,
141,0.0032,0.86,
141,0.001,0.28,
50,0.00113,1.59,
50,0.0127,12.35,
50,0.0091,9.35,
50,0.006,6.6,
50,0.0036,4.3,
50,0.00625,6.9,
80,0.00075,0.85,
80,0.0015,1.7,
80,0.00505,4.85,
80,0.008,6.88,
80,0.0094,7.5,
80,0.013,9.7,
80,0.0187,12.46,
80,0.0147,10.5,
130,0.00045,0.18,
130,0.0036,1.4,
130,0.00797,2.9,
130,0.0115,3.7,
130,0.01518,4.5,
130,0.01754,4.8,
130,0.0194,4.9,
100,0.01988,7.8,
100,0.0163,7.1,
100,0.013,6.1,
100,0.01,5.3,
100,0.00697,4.1,
100,0.003,2.1,
100,0.00037,0.29,
29.5,0.00091,0.0133,
29.5,0.0035,4.3,
29.5,0.0052,6,
29.5,0.008,8.65,
29.5,0.0111,10.9,
29.5,0.012,11.7,
29.5,0.0124,12,
29.5,0.01285,12.45,
29.5,0.001,1.6,
29.5,0.002,2.9,
29.5,0.00297,4,
29.5,0.00395,4.93,
29.5,0.00505,6.07,
29.5,0.006,6.9,
29.5,0.007,7.82,
29.5,0.008,8.7,
29.5,0.009,9.6,
112,0.00052,0.36,
112,0.00164,1.1,
112,0.004,2.3,
112,0.0051,2.7,
112,0.00723,3.6,
112,0.0093,4.26,
112,0.01015,4.4,
112,0.011,4.7,
112,0.0118,5,
112,0.0141,5.7,
112,0.01605,6.3,
112,0.0175,6.7,
112,0.01822,6.8,
112,0.0197,7,
122,0.00045,0.25,
122,0.00232,1.16,
122,0.00446,2.1,
122,0.0065,2.85,
122,0.00835,3.45,
122,0.01058,4.05,
122,0.012,4.3,
122,0.013,4.4,
122,0.014,4.75,
122,0.015,5.1,
122,0.016,5.4,
122,0.017,5.5,
122,0.018,5.4,
122,0.01904,5.8,
122,0.01972,5.6,
85,0.00103,1.05,0.00000103
85,0.00292,2.8,0.00000292
85,0.005,4.5,0.000005
85,0.007,5.7,0.000007
85,0.009,7.05,0.000009
85,0.01108,8.2,0.00001108
85,0.01307,9.25,0.00001307
85,0.01497,10,0.00001497
85,0.01755,11.24,0.00001755
85,0.0197,11.85,0.0000197
95,0.001,0.9,0.000001
95,0.00305,2.5,0.00000305
95,0.005,3.83,0.000005
95,0.007,4.95,0.000007
95,0.01,6.6,0.00001
95,0.012,7.4,0.000012
95,0.0139,8.1,0.0000139
95,0.015,7.6,0.000015
95,0.0165,8.7,0.0000165
95,0.0184,9.5,0.0000184
95,0.0197,9.9,0.0000197
105,0.00062,0.53,0.00000062
105,0.00197,1.6,0.00000197
105,0.004,2.75,0.000004
105,0.0061,3.7,0.0000061
105,0.0081,4.7,0.0000081
105,0.0099,5.4,0.0000099
105,0.0119,6.1,0.0000119
105,0.01404,6.9,0.00001404
105,0.0154,7.1,0.0000154
105,0.0168,7.6,0.0000168
105,0.01725,7.5,0.00001725
105,0.01845,8.19,0.00001845
105,0.0197,8.45,0.0000197
117,0.00042,0.3,0.00000042
117,0.002,1.3,0.000002
117,0.00315,1.95,0.00000315
117,0.00467,2.65,0.00000467
117,0.0065,3.4,0.0000065
117,0.0083,4,0.0000083
117,0.0101,4.6,0.0000101
117,0.0114,5,0.0000114
117,0.01295,5.5,0.00001295
117,0.0144,5.7,0.0000144
117,0.01535,5.95,0.00001535
117,0.0166,6.3,0.0000166
117,0.0176,6.6,0.0000176
117,0.0187,6.8,0.0000187
117,0.0197,7.5,0.0000197
126,0.00064,0.3,0.00000064
126,0.0021,1.1,0.0000021
126,0.0037,1.7,0.0000037
126,0.0058,2.7,0.0000058
126,0.0069,3.1,0.0000069
126,0.008,3.35,0.000008
126,0.0099,3.9,0.0000099
126,0.0119,4.15,0.0000119
126,0.0141,4.53,0.0000141
126,0.01555,4.8,0.00001555
126,0.01625,5,0.00001625
126,0.0177,5.45,0.0000177
126,0.01845,5.6,0.00001845
126,0.0193,5.85,0.0000193
126,0.0197,5.9,0.0000197
135,0.00063,0.27,0.00000063
135,0.002,1.03,0.000002
135,0.004,1.5,0.000004
135,0.00605,2.25,0.00000605
135,0.00798,2.6,0.00000798
135,0.00975,3.1,0.00000975
135,0.01097,3.4,0.00001097
135,0.0118,3.45,0.0000118
135,0.0139,3.9,0.0000139
135,0.01505,4,0.00001505
135,0.01605,4.35,0.00001605
135,0.01655,4.4,0.00001655
135,0.0174,4.55,0.0000174
135,0.0183,4.44,0.0000183
135,0.017,4.3,0.000017
135,0.0191,4.6,0.0000191
135,0.0197,4.7,0.0000197
